open,high,low,close,<SPREAD>,time,spread,real_volume,volume,tick_volume
266.5,268.4,264.6,266.0,0.0,2001-06-04 00:00:00,,,711.0,
265.5,267.6,264.25,266.5,0.0,2001-06-05 00:00:00,,,571.0,
266.0,268.3,264.8,266.5,0.0,2001-06-06 00:00:00,,,651.0,
265.5,266.8,265.0,266.8,0.0,2001-06-07 00:00:00,,,231.0,
266.3,275.5,265.6,274.0,0.0,2001-06-08 00:00:00,,,1211.0,
273.0,274.25,266.1,268.4,0.0,2001-06-11 00:00:00,,,1171.0,
267.8,273.25,266.6,272.0,0.0,2001-06-12 00:00:00,,,911.0,
271.5,274.15,269.05,272.6,0.0,2001-06-13 00:00:00,,,911.0,
272.15,277.4,270.45,276.25,0.0,2001-06-14 00:00:00,,,981.0,
275.2,276.85,269.75,271.8,0.0,2001-06-15 00:00:00,,,1081.0,
271.0,274.65,270.6,273.0,0.0,2001-06-18 00:00:00,,,611.0,
272.15,275.5,271.55,273.9,0.0,2001-06-19 00:00:00,,,616.0,
273.4,274.8,270.65,273.0,0.0,2001-06-20 00:00:00,,,791.0,
272.5,274.65,270.85,273.2,0.0,2001-06-21 00:00:00,,,691.0,
272.7,276.2,271.6,272.9,0.0,2001-06-22 00:00:00,,,901.0,
272.3,275.65,272.15,274.2,0.0,2001-06-25 00:00:00,,,511.0,
274.0,279.55,272.6,276.4,0.0,2001-06-26 00:00:00,,,1151.0,
276.25,277.95,270.95,272.85,0.0,2001-06-27 00:00:00,,,1061.0,
272.35,276.0,267.3,269.5,0.0,2001-06-28 00:00:00,,,1456.0,
269.25,272.65,268.75,271.1,0.0,2001-06-29 00:00:00,,,596.0,
270.6,271.45,267.4,269.8,0.0,2001-07-02 00:00:00,,,731.0,
269.3,272.5,267.25,268.0,0.0,2001-07-03 00:00:00,,,921.0,
267.5,269.15,267.15,268.2,0.0,2001-07-04 00:00:00,,,331.0,
267.7,268.95,264.45,265.6,0.0,2001-07-05 00:00:00,,,691.0,
265.1,267.9,264.15,266.5,0.0,2001-07-06 00:00:00,,,611.0,
266.5,267.65,265.1,266.9,0.0,2001-07-09 00:00:00,,,471.0,
266.4,268.25,265.6,266.6,0.0,2001-07-10 00:00:00,,,511.0,
266.1,270.35,265.5,268.7,0.0,2001-07-11 00:00:00,,,711.0,
268.75,269.25,265.25,267.1,0.0,2001-07-12 00:00:00,,,636.0,
266.6,268.3,265.65,267.6,0.0,2001-07-13 00:00:00,,,431.0,
266.95,269.75,266.25,267.75,0.0,2001-07-16 00:00:00,,,621.0,
